code,name,value
us-ca-031,"Kings County, CA",22.0
us-ca-033,"Lake County, CA",13.0
us-ca-035,"Lassen County, CA",11.0
us-ca-037,"Los Angeles County, CA",3.0
us-ca-039,"Madera County, CA",13.0
us-ca-041,"Marin County, CA",2.0
us-ca-043,"Mariposa County, CA",0.0
us-ca-045,"Mendocino County, CA",30.0
us-ca-047,"Merced County, CA",27.0
us-ca-049,"Modoc County, CA",25.0
us-ca-051,"Mono County, CA",0.0
us-ca-053,"Monterey County, CA",9.0
us-ca-055,"Napa County, CA",0.0
us-ca-057,"Nevada County, CA",20.0
us-ca-059,"Orange County, CA",1.0
us-ca-061,"Placer County, CA",5.0
us-ca-063,"Plumas County, CA",14.0
us-ca-065,"Riverside County, CA",13.0
us-ca-067,"Sacramento County, CA",9.0
us-ca-069,"San Benito County, CA",9.0
us-ca-071,"San Bernardino County, CA",19.0
us-ca-073,"San Diego County, CA",4.0
us-ca-075,"San Francisco County/city, CA",
us-ca-077,"San Joaquin County, CA",7.0
us-ca-079,"San Luis Obispo County, CA",6.0
us-ca-081,"San Mateo County, CA",0.0
us-ca-083,"Santa Barbara County, CA",2.0
us-ca-085,"Santa Clara County, CA",2.0
us-ca-087,"Santa Cruz County, CA",12.0
us-ca-089,"Shasta County, CA",23.0
us-ca-091,"Sierra County, CA",0.0
us-ca-093,"Siskiyou County, CA",36.0
us-ca-095,"Solano County, CA",6.0
us-ca-097,"Sonoma County, CA",8.0
us-ca-099,"Stanislaus County, CA",13.0
us-ca-101,"Sutter County, CA",24.0
us-ca-103,"Tehama County, CA",45.0
us-ca-105,"Trinity County, CA",40.0
us-ca-107,"Tulare County, CA",22.0
us-ca-109,"Tuolumne County, CA",9.0
us-ca-111,"Ventura County, CA",8.0
us-ca-113,"Yolo County, CA",0.0
us-ca-115,"Yuba County, CA",29.0
us-co-001,"Adams County, CO",21.0
us-co-003,"Alamosa County, CO",75.0
us-co-005,"Arapahoe County, CO",4.0
us-co-007,"Archuleta County, CO",50.0
us-co-009,"Baca County, CO",50.0
us-co-011,"Bent County, CO",100.0
us-co-013,"Boulder County, CO",6.0
us-co-014,"Broomfield County/city, CO",
us-co-015,"Chaffee County, CO",20.0
us-co-017,"Cheyenne County, CO",0.0
us-co-019,"Clear Creek County, CO",0.0
us-co-021,"Conejos County, CO",0.0
us-co-023,"Costilla County, CO",100.0
us-co-025,"Crowley County, CO",0.0
us-co-027,"Custer County, CO",100.0
us-co-029,"Delta County, CO",14.0
us-co-031,"Denver County/city, CO",
us-co-033,"Dolores County, CO",100.0
us-co-035,"Douglas County, CO",0.0
us-co-037,"Eagle County, CO",7.0
us-co-039,"Elbert County, CO",14.0
us-co-041,"El Paso County, CO",21.0
us-co-043,"Fremont County, CO",43.0
us-co-045,"Garfield County, CO",0.0
us-co-047,"Gilpin County, CO",0.0
us-co-049,"Grand County, CO",0.0
us-co-051,"Gunnison County, CO",0.0
us-co-053,"Hinsdale County, CO",0.0
us-co-055,"Huerfano County, CO",0.0
us-co-057,"Jackson County, CO",0.0
us-co-059,"Jefferson County, CO",5.0
us-co-061,"Kiowa County, CO",100.0
us-co-063,"Kit Carson County, CO",33.0
us-co-065,"Lake County, CO",50.0
us-co-067,"La Plata County, CO",10.0
us-co-069,"Larimer County, CO",7.0
us-co-071,"Las Animas County, CO",33.0
us-co-073,"Lincoln County, CO",50.0
us-co-075,"Logan County, CO",50.0
us-co-077,"Mesa County, CO",28.0
us-co-079,"Mineral County, CO",0.0
us-co-081,"Moffat County, CO",50.0
us-co-083,"Montezuma County, CO",43.0
us-co-085,"Montrose County, CO",50.0
us-co-087,"Morgan County, CO",25.0
us-co-089,"Otero County, CO",43.0
us-co-091,"Ouray County, CO",0.0
us-co-093,"Park County, CO",40.0
us-co-095,"Phillips County, CO",0.0
us-co-097,"Pitkin County, CO",0.0
us-co-099,"Prowers County, CO",60.0
us-co-101,"Pueblo County, CO",35.0
us-co-103,"Rio Blanco County, CO",0.0
us-co-105,"Rio Grande County, CO",67.0
us-co-107,"Routt County, CO",0.0
us-co-109,"Saguache County, CO",50.0
us-co-111,"San Juan County, CO",100.0
us-co-113,"San Miguel County, CO",0.0
us-co-115,"Sedgwick County, CO",0.0
us-co-117,"Summit County, CO",0.0
us-co-119,"Teller County, CO",0.0
us-co-121,"Washington County, CO",50.0
us-co-123,"Weld County, CO",14.0
us-co-125,"Yuma County, CO",100.0
us-ct-001,"Fairfield County, CT",6.0
us-ct-003,"Hartford County, CT",6.0
us-ct-005,"Litchfield County, CT",10.0
us-ct-007,"Middlesex County, CT",3.0
us-ct-009,"New Haven County, CT",11.0
us-ct-011,"New London County, CT",15.0
us-ct-013,"Tolland County, CT",17.0
us-ct-015,"Windham County, CT",8.0
us-de-001,"Kent County, DE",12.0
us-de-003,"New Castle County, DE",11.0
us-de-005,"Sussex County, DE",15.0
us-fl-001,"Alachua County, FL",20.0
us-fl-003,"Baker County, FL",50.0
us-fl-005,"Bay County, FL",9.0
us-fl-007,"Bradford County, FL",0.0
us-fl-009,"Brevard County, FL",18.0
us-fl-011,"Broward County, FL",5.0
us-fl-013,"Calhoun County, FL",33.0
us-fl-015,"Charlotte County, FL",21.0
us-fl-017,"Citrus County, FL",26.0
us-fl-019,"Clay County, FL",3.0
us-fl-021,"Collier County, FL",15.0
us-fl-023,"Columbia County, FL",33.0
us-fl-027,"DeSoto County, FL",22.0
us-fl-029,"Dixie County, FL",0.0
us-fl-031,"Duval County, FL",23.0
us-fl-033,"Escambia County, FL",21.0
us-fl-035,"Flagler County, FL",10.0
us-fl-037,"Franklin County, FL",0.0
us-fl-039,"Gadsden County, FL",22.0
us-fl-041,"Gilchrist County, FL",0.0
us-fl-043,"Glades County, FL",75.0
us-fl-045,"Gulf County, FL",0.0
us-fl-047,"Hamilton County, FL",67.0
us-fl-049,"Hardee County, FL",50.0
us-fl-051,"Hendry County, FL",29.0
us-fl-053,"Hernando County, FL",31.0
us-fl-055,"Highlands County, FL",33.0
us-fl-057,"Hillsborough County, FL",13.0
us-fl-059,"Holmes County, FL",50.0
us-fl-061,"Indian River County, FL",13.0
us-fl-063,"Jackson County, FL",18.0
us-fl-065,"Jefferson County, FL",33.0
us-fl-067,"Lafayette County, FL",50.0
us-fl-069,"Lake County, FL",34.0
us-fl-071,"Lee County, FL",19.0
us-fl-073,"Leon County, FL",19.0
us-fl-075,"Levy County, FL",33.0
us-fl-077,"Liberty County, FL",0.0
us-fl-079,"Madison County, FL",20.0
us-fl-081,"Manatee County, FL",10.0
us-fl-083,"Marion County, FL",21.0
us-fl-085,"Martin County, FL",17.0
us-fl-086,"Miami-Dade County, FL",4.0
us-fl-087,"Monroe County, FL",10.0
us-fl-089,"Nassau County, FL",0.0
us-fl-091,"Okaloosa County, FL",12.0
us-fl-093,"Okeechobee County, FL",58.0
us-fl-095,"Orange County, FL",16.0
us-fl-097,"Osceola County, FL",37.0
us-fl-099,"Palm Beach County, FL",6.0
us-fl-101,"Pasco County, FL",22.0
us-fl-103,"Pinellas County, FL",5.0
us-fl-105,"Polk County, FL",24.0
us-fl-107,"Putnam County, FL",29.0
us-fl-109,"St. Johns County, FL",12.0
us-fl-111,"St. Lucie County, FL",18.0
us-fl-113,"Santa Rosa County, FL",8.0
us-fl-115,"Sarasota County, FL",5.0
us-fl-117,"Seminole County, FL",5.0
us-fl-119,"Sumter County, FL",0.0
us-fl-121,"Suwannee County, FL",43.0
us-fl-123,"Taylor County, FL",50.0
us-fl-125,"Union County, FL",33.0
us-fl-127,"Volusia County, FL",23.0
us-fl-129,"Wakulla County, FL",0.0
us-fl-131,"Walton County, FL",27.0
us-fl-133,"Washington County, FL",43.0
us-ga-001,"Appling County, GA",60.0
us-ga-003,"Atkinson County, GA",33.0
us-ga-005,"Bacon County, GA",0.0
us-ga-007,"Baker County, GA",50.0
us-ga-009,"Baldwin County, GA",44.0
us-ga-011,"Banks County, GA",0.0
us-ga-013,"Barrow County, GA",11.0
us-ga-015,"Bartow County, GA",33.0
us-ga-017,"Ben Hill County, GA",40.0
us-ga-019,"Berrien County, GA",17.0
us-ga-021,"Bibb County, GA",30.0
us-ga-023,"Bleckley County, GA",33.0
us-ga-025,"Brantley County, GA",33.0
us-ga-027,"Brooks County, GA",40.0
us-ga-029,"Bryan County, GA",14.0
us-ga-031,"Bulloch County, GA",25.0
us-ga-033,"Burke County, GA",33.0
us-ga-035,"Butts County, GA",33.0
us-ga-037,"Calhoun County, GA",50.0
us-ga-039,"Camden County, GA",20.0
us-ga-043,"Candler County, GA",0.0
us-ga-045,"Carroll County, GA",53.0
us-ga-047,"Catoosa County, GA",18.0
us-ga-049,"Charlton County, GA",0.0
us-ga-051,"Chatham County, GA",19.0
us-ga-053,"Chattahoochee County, GA",20.0
us-ga-055,"Chattooga County, GA",50.0
us-ga-057,"Cherokee County, GA",12.0
us-ga-059,"Clarke County, GA",50.0
us-ga-061,"Clay County, GA",100.0
us-ga-063,"Clayton County, GA",46.0
us-ga-065,"Clinch County, GA",0.0
us-ga-067,"Cobb County, GA",17.0
us-ga-069,"Coffee County, GA",0.0
us-ga-071,"Colquitt County, GA",40.0
us-ga-073,"Columbia County, GA",0.0
us-ga-075,"Cook County, GA",0.0
us-ga-077,"Coweta County, GA",15.0
us-ga-079,"Crawford County, GA",0.0
us-ga-081,"Crisp County, GA",17.0
us-ga-083,"Dade County, GA",0.0
us-ga-085,"Dawson County, GA",0.0
us-ga-087,"Decatur County, GA",29.0
us-ga-089,"DeKalb County, GA",28.0
us-ga-091,"Dodge County, GA",0.0
us-ga-093,"Dooly County, GA",67.0
us-ga-095,"Dougherty County, GA",44.0
us-ga-097,"Douglas County, GA",35.0
us-ga-099,"Early County, GA",0.0
us-ga-101,"Echols County, GA",0.0
us-ga-103,"Effingham County, GA",0.0
us-ga-105,"Elbert County, GA",20.0
us-ga-107,"Emanuel County, GA",50.0
us-ga-109,"Evans County, GA",0.0
us-ga-111,"Fannin County, GA",0.0
us-ga-113,"Fayette County, GA",0.0
us-ga-115,"Floyd County, GA",30.0
us-ga-117,"Forsyth County, GA",4.0
us-ga-119,"Franklin County, GA",0.0
us-ga-121,"Fulton County, GA",20.0
us-ga-123,"Gilmer County, GA",40.0
us-ga-125,"Glascock County, GA",0.0
us-ga-127,"Glynn County, GA",33.0
us-ga-129,"Gordon County, GA",33.0
us-ga-131,"Grady County, GA",17.0
us-ga-133,"Greene County, GA",14.0
us-ga-135,"Gwinnett County, GA",14.0
us-ga-137,"Habersham County, GA",0.0
us-ga-139,"Hall County, GA",17.0
us-ga-141,"Hancock County, GA",50.0
us-ga-143,"Haralson County, GA",20.0
us-ga-145,"Harris County, GA",0.0
us-ga-147,"Hart County, GA",0.0
us-ga-149,"Heard County, GA",33.0
us-ga-151,"Henry County, GA",20.0
us-ga-153,"Houston County, GA",22.0
us-ga-155,"Irwin County, GA",0.0
us-ga-157,"Jackson County, GA",18.0
us-ga-159,"Jasper County, GA",67.0
us-ga-161,"Jeff Davis County, GA",67.0
us-ga-163,"Jefferson County, GA",0.0
us-ga-165,"Jenkins County, GA",0.0
us-ga-167,"Johnson County, GA",33.0
us-ga-169,"Jones County, GA",17.0
us-ga-171,"Lamar County, GA",33.0
us-ga-173,"Lanier County, GA",0.0
us-ga-175,"Laurens County, GA",31.0
us-ga-177,"Lee County, GA",0.0
us-ga-179,"Liberty County, GA",36.0
us-ga-181,"Lincoln County, GA",0.0
us-ga-183,"Long County, GA",0.0
us-ga-185,"Lowndes County, GA",24.0
